,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,proj_roto_wire,proj_site,index,DFKS_Score
0,LeBron James (13903863),LeBron James,13903863,PG/SF/F/G/UTIL,10000,LAL@UTA 12/04/2019 09:00PM ET,LAL,55.52,51.19,55.4,0.0,46.5
1,Anthony Davis (13903955),Anthony Davis,13903955,PF/C/F/UTIL,9400,LAL@UTA 12/04/2019 09:00PM ET,LAL,50.88,52.02,51.0,0.0,43
2,Damian Lillard (13903908),Damian Lillard,13903908,PG/G/UTIL,8100,SAC@POR 12/04/2019 10:00PM ET,POR,46.95,43.47,47.0,0.0,51.5
3,Hassan Whiteside (13903914),Hassan Whiteside,13903914,C/UTIL,7600,SAC@POR 12/04/2019 10:00PM ET,POR,36.78,29.37,36.8,0.0,59
4,Rudy Gobert (13903990),Rudy Gobert,13903990,C/UTIL,7500,LAL@UTA 12/04/2019 09:00PM ET,UTA,38.55,39.69,38.5,0.0,31
5,Buddy Hield (13903977),Buddy Hield,13903977,SG/SF/F/G/UTIL,7400,SAC@POR 12/04/2019 10:00PM ET,SAC,33.24,40.99,33.2,0.0,47.25
6,Donovan Mitchell (13904017),Donovan Mitchell,13904017,PG/SG/G/UTIL,7100,LAL@UTA 12/04/2019 09:00PM ET,UTA,39.4,39.26,39.4,0.0,42
7,CJ McCollum (13903923),CJ McCollum,13903923,PG/SG/G/UTIL,6900,SAC@POR 12/04/2019 10:00PM ET,POR,36.46,,,,
8,Marvin Bagley III (13904085),Marvin Bagley III,13904085,PF/C/F/UTIL,6800,SAC@POR 12/04/2019 10:00PM ET,SAC,31.5,,,,
9,Richaun Holmes (13903973),Richaun Holmes,13903973,PF/C/F/UTIL,6700,SAC@POR 12/04/2019 10:00PM ET,SAC,27.7,35.28,27.7,0.0,43.5
10,Carmelo Anthony (13903859),Carmelo Anthony,13903859,SF/PF/F/UTIL,6200,SAC@POR 12/04/2019 10:00PM ET,POR,28.57,24.79,28.6,0.0,28.75
11,Nemanja Bjelica (13903927),Nemanja Bjelica,13903927,PF/F/UTIL,6100,SAC@POR 12/04/2019 10:00PM ET,SAC,25.74,24.48,25.7,0.0,37.75
12,Bojan Bogdanovic (13903943),Bojan Bogdanovic,13903943,SF/PF/F/UTIL,6100,LAL@UTA 12/04/2019 09:00PM ET,UTA,31.52,26.66,31.5,0.0,35.25
13,Harrison Barnes (13903930),Harrison Barnes,13903930,SF/PF/F/UTIL,5800,SAC@POR 12/04/2019 10:00PM ET,SAC,28.2,29.86,28.2,0.0,19
14,Bogdan Bogdanovic (13904001),Bogdan Bogdanovic,13904001,SG/SF/F/G/UTIL,5700,SAC@POR 12/04/2019 10:00PM ET,SAC,28.88,30.57,28.9,0.0,0
15,Mike Conley (13903894),Mike Conley,13903894,PG/G/UTIL,5600,LAL@UTA 12/04/2019 09:00PM ET,UTA,26.82,,,0.0,0
16,Joe Ingles (13903938),Joe Ingles,13903938,SG/SF/F/G/UTIL,4900,LAL@UTA 12/04/2019 09:00PM ET,UTA,19.79,21.63,19.8,0.0,12
17,Rodney Hood (13903959),Rodney Hood,13903959,SG/SF/F/G/UTIL,4600,SAC@POR 12/04/2019 10:00PM ET,POR,20.91,20.72,20.9,0.0,14.75
18,Cory Joseph (13903934),Cory Joseph,13903934,PG/SG/G/UTIL,4500,SAC@POR 12/04/2019 10:00PM ET,SAC,16.84,25.83,16.8,0.0,25.25
19,JaVale McGee (13903897),JaVale McGee,13903897,C/UTIL,4100,LAL@UTA 12/04/2019 09:00PM ET,LAL,19.18,20.16,19.2,0.0,20.25
20,Rajon Rondo (13903882),Rajon Rondo,13903882,PG/G/UTIL,4000,LAL@UTA 12/04/2019 09:00PM ET,LAL,22.23,17.76,22.0,0.0,48.75
21,Danny Green (13903889),Danny Green,13903889,SG/SF/F/G/UTIL,4000,LAL@UTA 12/04/2019 09:00PM ET,LAL,18.62,17.51,18.7,0.0,14.75
22,Kyle Kuzma (13904010),Kyle Kuzma,13904010,SF/PF/F/UTIL,3900,LAL@UTA 12/04/2019 09:00PM ET,LAL,17.35,19.13,17.4,0.0,28.75
23,Skal Labissiere (13904025),Skal Labissiere,13904025,PF/C/F/UTIL,3800,SAC@POR 12/04/2019 10:00PM ET,POR,16.89,15.82,16.9,0.0,8
24,Avery Bradley (13903919),Avery Bradley,13903919,PG/SG/G/UTIL,3800,LAL@UTA 12/04/2019 09:00PM ET,LAL,18.35,,,0.0,0
25,Anfernee Simons (13904089),Anfernee Simons,13904089,PG/SG/G/UTIL,3600,SAC@POR 12/04/2019 10:00PM ET,POR,16.21,15.36,16.2,0.0,8
26,Dwight Howard (13903880),Dwight Howard,13903880,C/UTIL,3600,LAL@UTA 12/04/2019 09:00PM ET,LAL,19.86,19.54,20.0,0.0,26.25
27,Kentavious Caldwell-Pope (13903950),Kentavious Caldwell-Pope,13903950,SG/SF/F/G/UTIL,3600,LAL@UTA 12/04/2019 09:00PM ET,LAL,14.9,19.75,14.9,0.0,18.25
28,Royce O'Neale (13903964),Royce O'Neale,13903964,SF/F/UTIL,3600,LAL@UTA 12/04/2019 09:00PM ET,UTA,17.96,17.41,18.0,0.0,10.75
29,Yogi Ferrell (13903986),Yogi Ferrell,13903986,PG/SG/G/UTIL,3400,SAC@POR 12/04/2019 10:00PM ET,SAC,9.92,8.98,9.9,0.0,20.75
30,Justin James (13904029),Justin James,13904029,SG/SF/F/G/UTIL,3400,SAC@POR 12/04/2019 10:00PM ET,SAC,9.15,20.56,9.1,0.0,6
31,Jeff Green (13903885),Jeff Green,13903885,SF/PF/F/UTIL,3400,LAL@UTA 12/04/2019 09:00PM ET,UTA,14.31,12.25,14.3,0.0,16.5
32,Tony Bradley (13904057),Tony Bradley,13904057,C/UTIL,3400,LAL@UTA 12/04/2019 09:00PM ET,UTA,10.38,3.96,10.4,0.0,5.25
33,Kent Bazemore (13903899),Kent Bazemore,13903899,SG/SF/F/G/UTIL,3300,SAC@POR 12/04/2019 10:00PM ET,POR,18.76,19.42,18.8,0.0,27.5
34,Zach Collins (13904068),Zach Collins,13904068,PF/C/F/UTIL,3300,SAC@POR 12/04/2019 10:00PM ET,POR,17.83,,,0.0,0
35,Gary Trent Jr. (13904082),Gary Trent Jr,13904082,SG/G/UTIL,3300,SAC@POR 12/04/2019 10:00PM ET,POR,6.91,,,,
36,Quinn Cook (13903947),Quinn Cook,13903947,PG/G/UTIL,3300,LAL@UTA 12/04/2019 09:00PM ET,LAL,10.38,7.38,10.4,0.0,3.25
37,Alex Caruso (13903982),Alex Caruso,13903982,PG/SG/G/UTIL,3300,LAL@UTA 12/04/2019 09:00PM ET,LAL,12.93,14.57,12.9,0.0,12.25
38,Anthony Tolliver (13903872),Anthony Tolliver,13903872,PF/C/F/UTIL,3200,SAC@POR 12/04/2019 10:00PM ET,POR,9.73,4.71,9.7,0.0,0
39,De'Aaron Fox (13904075),De'Aaron Fox,13904075,PG/G/UTIL,3200,SAC@POR 12/04/2019 10:00PM ET,SAC,35.22,,,0.0,0
40,Nigel Williams-Goss (13903992),Nigel Williams-Goss,13903992,PG/G/UTIL,3200,LAL@UTA 12/04/2019 09:00PM ET,UTA,1.1,1.34,1.4,0.0,3.5
41,Dante Exum (13903995),Dante Exum,13903995,PG/SG/G/UTIL,3200,LAL@UTA 12/04/2019 09:00PM ET,UTA,4.94,11.36,4.9,0.0,2.25
42,Emmanuel Mudiay (13904014),Emmanuel Mudiay,13904014,PG/G/UTIL,3200,LAL@UTA 12/04/2019 09:00PM ET,UTA,14.44,15.63,14.4,0.0,4.75
43,Justin Wright-Foreman (13904038),Justin Wright-Foreman,13904038,PG/G/UTIL,3200,LAL@UTA 12/04/2019 09:00PM ET,UTA,0.0,0.0,0.0,0.0,0
44,Dewayne Dedmon (13903967),Dewayne Dedmon,13903967,C/UTIL,3100,SAC@POR 12/04/2019 10:00PM ET,SAC,12.6,13.16,12.6,0.0,14.5
45,Jared Dudley (13903876),Jared Dudley,13903876,SF/PF/F/UTIL,3100,LAL@UTA 12/04/2019 09:00PM ET,LAL,4.15,0.0,4.2,0.0,5.5
46,Ed Davis (13903904),Ed Davis,13903904,PF/C/F/UTIL,3100,LAL@UTA 12/04/2019 09:00PM ET,UTA,9.53,12.81,9.5,0.0,12
47,Georges Niang (13903969),Georges Niang,13903969,SF/PF/F/UTIL,3100,LAL@UTA 12/04/2019 09:00PM ET,UTA,7.05,9.01,7.1,0.0,9.5
48,Miye Oni (13904063),Miye Oni,13904063,SG/SF/F/G/UTIL,3100,LAL@UTA 12/04/2019 09:00PM ET,UTA,-0.25,0.0,-0.3,0.0,0
49,Zach Norvell Jr. (13904072),Zach Norvell Jr,13904072,PG/G/UTIL,3100,LAL@UTA 12/04/2019 09:00PM ET,LAL,0.62,,,,
50,Trevor Ariza (13903868),Trevor Ariza,13903868,SF/PF/F/UTIL,3000,SAC@POR 12/04/2019 10:00PM ET,SAC,10.98,13.34,11.0,0.0,26
51,Jusuf Nurkic (13903999),Jusuf Nurkic,13903999,C/UTIL,3000,SAC@POR 12/04/2019 10:00PM ET,POR,0.0,,,0.0,0
52,Mario Hezonja (13904006),Mario Hezonja,13904006,SF/PF/F/UTIL,3000,SAC@POR 12/04/2019 10:00PM ET,POR,13.37,6.43,13.4,0.0,0
53,Caleb Swanigan (13904021),Caleb Swanigan,13904021,PF/C/F/UTIL,3000,SAC@POR 12/04/2019 10:00PM ET,SAC,3.12,0.0,3.1,0.0,0
54,DaQuan Jeffries (13904041),DaQuan Jeffries,13904041,SG/SF/F/G/UTIL,3000,SAC@POR 12/04/2019 10:00PM ET,SAC,2.38,0.0,2.4,0.0,0
55,Harry Giles (13904049),Harry Giles,13904049,PF/C/F/UTIL,3000,SAC@POR 12/04/2019 10:00PM ET,SAC,6.82,5.9,6.8,0.0,0
56,Kyle Guy (13904053),Kyle Guy,13904053,PG/SG/G/UTIL,3000,SAC@POR 12/04/2019 10:00PM ET,SAC,0.0,0.0,0.0,0.0,0
57,Wenyen Gabriel (13904078),Wenyen Gabriel,13904078,SF/PF/F/UTIL,3000,SAC@POR 12/04/2019 10:00PM ET,SAC,5.36,0.0,5.4,0.0,0
58,Jaylen Hoard (13904093),Jaylen Hoard,13904093,SF/PF/F/UTIL,3000,SAC@POR 12/04/2019 10:00PM ET,POR,3.5,0.0,4.6,0.0,0
59,Moses Brown (13904102),Moses Brown,13904102,C/UTIL,3000,SAC@POR 12/04/2019 10:00PM ET,POR,5.19,0.0,6.9,0.0,0
60,Nassir Little (13904104),Nassir Little,13904104,SF/PF/F/UTIL,3000,SAC@POR 12/04/2019 10:00PM ET,POR,11.57,6.26,11.4,0.0,6.75
61,DeMarcus Cousins (13903911),DeMarcus Cousins,13903911,PF/F/UTIL,3000,LAL@UTA 12/04/2019 09:00PM ET,LAL,0.0,,,0.0,0
62,Troy Daniels (13903916),Troy Daniels,13903916,SG/G/UTIL,3000,LAL@UTA 12/04/2019 09:00PM ET,LAL,8.55,8.77,8.6,0.0,8
63,Jarrell Brantley (13904034),Jarrell Brantley,13904034,SF/PF/F/UTIL,3000,LAL@UTA 12/04/2019 09:00PM ET,UTA,7.25,0.0,7.3,0.0,2.75
64,Juwan Morgan (13904046),Juwan Morgan,13904046,PF/F/UTIL,3000,LAL@UTA 12/04/2019 09:00PM ET,UTA,1.25,0.0,1.3,0.0,0
65,Kostas Antetokounmpo (13904059),Kostas Antetokounmpo,13904059,SF/PF/F/UTIL,3000,LAL@UTA 12/04/2019 09:00PM ET,LAL,0.62,0.0,1.3,0.0,0
66,Talen Horton-Tucker (13904097),Talen Horton-Tucker,13904097,SG/SF/F/G/UTIL,3000,LAL@UTA 12/04/2019 09:00PM ET,LAL,0.0,0.0,0.0,0.0,0
